"report_date","target_end_date","location_name","ICUbed_mean","ICUbed_lower","ICUbed_upper"
2020-03-25,2020-03-01,"New York",0,0,0
2020-03-25,2020-03-02,"New York",0,0,0
2020-03-25,2020-03-03,"New York",0,0,0
2020-03-25,2020-03-04,"New York",0,0,0
2020-03-25,2020-03-05,"New York",0,0,0
2020-03-25,2020-03-06,"New York",1.90048134920635,0,8.5
2020-03-25,2020-03-07,"New York",3.18610595238095,0,11
2020-03-25,2020-03-08,"New York",10.9373900793651,4.5,21
2020-03-25,2020-03-09,"New York",17.4545087301587,8.9875,30
2020-03-25,2020-03-10,"New York",27.9554214285714,17,42.0125
2020-03-25,2020-03-11,"New York",44.2748936507937,29.5,63.5
2020-03-25,2020-03-12,"New York",67.8616214285714,49,92.5
2020-03-25,2020-03-13,"New York",101.804466666667,77.5,130.5125
2020-03-25,2020-03-14,"New York",148.883792460317,117.9875,183.5
2020-03-25,2020-03-15,"New York",229.460253174603,193.5,269.5125
2020-03-25,2020-03-16,"New York",321.865255952381,277.4875,369.5125
2020-03-25,2020-03-17,"New York",483.146738095238,433.5,535.0125
2020-03-25,2020-03-18,"New York",664.082469444444,599.4875,732.5
2020-03-25,2020-03-19,"New York",892.670712698413,806.4875,992.5
2020-03-25,2020-03-20,"New York",1178.46872539683,1047.5,1326
2020-03-25,2020-03-21,"New York",1527.73848253968,1323.9625,1761.025
2020-03-25,2020-03-22,"New York",1941.51926309524,1654.9125,2276.4125
2020-03-25,2020-03-23,"New York",2408.60060238095,1995.4125,2926.375
2020-03-25,2020-03-24,"New York",2948.62962222222,2368.975,3690.5125
2020-03-25,2020-03-25,"New York",3506.62873571429,2760.3625,4561.6125
2020-03-25,2020-03-26,"New York",4123.33998214286,3122.125,5601.6375
2020-03-25,2020-03-27,"New York",4762.38215436508,3556.225,6692.5
2020-03-25,2020-03-28,"New York",5399.46223650794,3893,7933.7625
2020-03-25,2020-03-29,"New York",6014.32519404762,4192.2125,9201.5125
2020-03-25,2020-03-30,"New York",6583.26339642857,4404.775,10701.7375
2020-03-25,2020-03-31,"New York",7080.15302103175,4481.725,12263.15
2020-03-25,2020-04-01,"New York",7479.90896785714,4488.65,13658.7375
2020-03-25,2020-04-02,"New York",7769.11257579365,4431.05,14999.3375
2020-03-25,2020-04-03,"New York",7936.31816111111,4253.6625,16287.4
2020-03-25,2020-04-04,"New York",7972.34301666667,4004.05,17431.05
2020-03-25,2020-04-05,"New York",7881.88161944444,3637.4875,18432.575
2020-03-25,2020-04-06,"New York",7667.03815873016,3286.175,19085.4
2020-03-25,2020-04-07,"New York",7341.34475674603,2842.2125,19818.5875
2020-03-25,2020-04-08,"New York",6921.66904563492,2412.35,19754.225
2020-03-25,2020-04-09,"New York",6428.55166785714,2026.7125,19893.4375
2020-03-25,2020-04-10,"New York",5883.34787936508,1667.5,19168.6
2020-03-25,2020-04-11,"New York",5307.27480753968,1318.65,18673.875
2020-03-25,2020-04-12,"New York",4721.63146150794,1001.475,18025.2125
2020-03-25,2020-04-13,"New York",4141.90265753968,765.2,17071.75
2020-03-25,2020-04-14,"New York",3584.70221428571,568.2875,15727.55
2020-03-25,2020-04-15,"New York",3060.95356071429,408.3875,14256.625
2020-03-25,2020-04-16,"New York",2579.91978015873,294.875,12618.9875
2020-03-25,2020-04-17,"New York",2147.23943055556,199.4375,11266.6625
2020-03-25,2020-04-18,"New York",1765.19928611111,135.4875,9711
2020-03-25,2020-04-19,"New York",1434.05315277778,86,8406.5875
2020-03-25,2020-04-20,"New York",1151.05843055556,52.9875,7268.1375
2020-03-25,2020-04-21,"New York",913.155361111111,35.975,6198.175
2020-03-25,2020-04-22,"New York",715.933833333333,19.975,5240.5
2020-03-25,2020-04-23,"New York",554.718666666667,11.975,4344.1
2020-03-25,2020-04-24,"New York",425.377083333333,5.9875,3495.4125
2020-03-25,2020-04-25,"New York",322.056166666667,2,2859.0625
2020-03-25,2020-04-26,"New York",241.3225,0.5,2234.5
2020-03-25,2020-04-27,"New York",178.5985,0,1684.85
2020-03-25,2020-04-28,"New York",130.636,0,1270.2875
2020-03-25,2020-04-29,"New York",94.2795,0,941.6875
2020-03-25,2020-04-30,"New York",67.3355,0,682.2375
2020-03-25,2020-05-01,"New York",47.6335,0,499
2020-03-25,2020-05-02,"New York",33.3095,0,344.062499999999
2020-03-25,2020-05-03,"New York",23.005,0,242.6625
2020-03-25,2020-05-04,"New York",15.6385,0,164.5625
2020-03-25,2020-05-05,"New York",10.563,0,109.05
2020-03-25,2020-05-06,"New York",7.042,0,74.5624999999999
2020-03-25,2020-05-07,"New York",4.697,0,51.5125
2020-03-25,2020-05-08,"New York",3.068,0,34.5
2020-03-25,2020-05-09,"New York",1.951,0,19.0874999999999
2020-03-25,2020-05-10,"New York",1.227,0,12.5125
2020-03-25,2020-05-11,"New York",0.7525,0,8.01249999999999
2020-03-25,2020-05-12,"New York",0.4505,0,4.02499999999998
2020-03-25,2020-05-13,"New York",0.2765,0,2.01249999999999
2020-03-25,2020-05-14,"New York",0.1435,0,0.0124999999999886
2020-03-25,2020-05-15,"New York",0.059,0,0
2020-03-25,2020-05-16,"New York",0.018,0,0
2020-03-25,2020-05-17,"New York",0.006,0,0
2020-03-25,2020-05-18,"New York",0.0035,0,0
2020-03-25,2020-05-19,"New York",0.003,0,0
2020-03-25,2020-05-20,"New York",0,0,0
2020-03-25,2020-05-21,"New York",0,0,0
2020-03-25,2020-05-22,"New York",0,0,0
2020-03-25,2020-05-23,"New York",0,0,0
2020-03-25,2020-05-24,"New York",0,0,0
2020-03-25,2020-05-25,"New York",0,0,0
2020-03-25,2020-05-26,"New York",0,0,0
2020-03-25,2020-05-27,"New York",0,0,0
2020-03-25,2020-05-28,"New York",0,0,0
2020-03-25,2020-05-29,"New York",0,0,0
2020-03-25,2020-05-30,"New York",0,0,0
2020-03-25,2020-05-31,"New York",0,0,0
2020-03-25,2020-06-01,"New York",0,0,0
2020-03-25,2020-06-02,"New York",0,0,0
2020-03-25,2020-06-03,"New York",0,0,0
2020-03-25,2020-06-04,"New York",0,0,0
2020-03-25,2020-06-05,"New York",0,0,0
2020-03-25,2020-06-06,"New York",0,0,0
2020-03-25,2020-06-07,"New York",0,0,0
2020-03-25,2020-06-08,"New York",0,0,0
2020-03-25,2020-06-09,"New York",0,0,0
2020-03-25,2020-06-10,"New York",0,0,0
2020-03-25,2020-06-11,"New York",0,0,0
2020-03-25,2020-06-12,"New York",0,0,0
2020-03-25,2020-06-13,"New York",0,0,0
2020-03-25,2020-06-14,"New York",0,0,0
2020-03-25,2020-06-15,"New York",0,0,0
2020-03-25,2020-06-16,"New York",0,0,0
2020-03-25,2020-06-17,"New York",0,0,0
2020-03-25,2020-06-18,"New York",0,0,0
2020-03-25,2020-06-19,"New York",0,0,0
2020-03-25,2020-06-20,"New York",0,0,0
2020-03-25,2020-06-21,"New York",0,0,0
2020-03-25,2020-06-22,"New York",0,0,0
2020-03-25,2020-06-23,"New York",0,0,0
2020-03-25,2020-06-24,"New York",0,0,0
2020-03-25,2020-06-25,"New York",0,0,0
2020-03-25,2020-06-26,"New York",0,0,0
2020-03-25,2020-06-27,"New York",0,0,0
2020-03-25,2020-06-28,"New York",0,0,0
2020-03-25,2020-06-29,"New York",0,0,0
2020-03-25,2020-06-30,"New York",0,0,0
2020-03-25,2020-07-01,"New York",0,0,0
2020-03-25,2020-07-02,"New York",0,0,0
2020-03-25,2020-07-03,"New York",0,0,0
2020-03-25,2020-07-04,"New York",0,0,0
2020-03-25,2020-07-05,"New York",0,0,0
2020-03-25,2020-07-06,"New York",0,0,0
2020-03-25,2020-07-07,"New York",0,0,0
2020-03-25,2020-07-08,"New York",0,0,0
2020-03-25,2020-07-09,"New York",0,0,0
2020-03-25,2020-07-10,"New York",0,0,0
2020-03-25,2020-07-11,"New York",0,0,0
2020-03-25,2020-07-12,"New York",0,0,0
2020-03-25,2020-07-13,"New York",0,0,0
2020-03-25,2020-07-14,"New York",0,0,0
2020-03-25,2020-07-15,"New York",0,0,0
2020-03-25,2020-07-16,"New York",0,0,0
2020-03-25,2020-07-17,"New York",0,0,0
2020-03-25,2020-07-18,"New York",0,0,0
2020-03-25,2020-07-19,"New York",0,0,0
2020-03-25,2020-07-20,"New York",0,0,0
2020-03-25,2020-07-21,"New York",0,0,0
2020-03-25,2020-07-22,"New York",0,0,0
2020-03-25,2020-07-23,"New York",0,0,0
2020-03-25,2020-07-24,"New York",0,0,0
2020-03-25,2020-07-25,"New York",0,0,0
2020-03-25,2020-07-26,"New York",0,0,0
2020-03-25,2020-07-27,"New York",0,0,0
2020-03-25,2020-07-28,"New York",0,0,0
2020-03-25,2020-07-29,"New York",0,0,0
2020-03-25,2020-07-30,"New York",0,0,0
2020-03-25,2020-07-31,"New York",0,0,0
2020-03-25,2020-08-01,"New York",0,0,0
2020-03-25,2020-08-02,"New York",0,0,0
2020-03-25,2020-08-03,"New York",0,0,0
2020-03-25,2020-08-04,"New York",0,0,0
2020-03-29,2020-03-01,"New York",0,0,0
2020-03-29,2020-03-02,"New York",0,0,0
2020-03-29,2020-03-03,"New York",0,0,0
2020-03-29,2020-03-04,"New York",0,0,0
2020-03-29,2020-03-05,"New York",0.995,0,6.5
2020-03-29,2020-03-06,"New York",1.5665,0,8.01249999999999
2020-03-29,2020-03-07,"New York",7.9395,2,18
2020-03-29,2020-03-08,"New York",10.7235,4,21.0125
2020-03-29,2020-03-09,"New York",22.1195,13.9875,34.0125
2020-03-29,2020-03-10,"New York",35.3155,23,51
2020-03-29,2020-03-11,"New York",43.6105,29.4875,61.0125
2020-03-29,2020-03-12,"New York",78.234,60.4875,101.0125
2020-03-29,2020-03-13,"New York",116.8715,91,147.0125
2020-03-29,2020-03-14,"New York",162.2055,132.5,196.5
2020-03-29,2020-03-15,"New York",263.3075,226.5,305
2020-03-29,2020-03-16,"New York",356.329,318,399
2020-03-29,2020-03-17,"New York",468.0775,422.9875,518.0125
2020-03-29,2020-03-18,"New York",631.722,577.5,689.5
2020-03-29,2020-03-19,"New York",865.584,800.9875,936.5125
2020-03-29,2020-03-20,"New York",1149.904,1075.4875,1232
2020-03-29,2020-03-21,"New York",1535.3655,1454.475,1628.0125
2020-03-29,2020-03-22,"New York",1992.427,1883.4875,2105.5125
2020-03-29,2020-03-23,"New York",2473.737,2325.9625,2642.5125
2020-03-29,2020-03-24,"New York",3075.303,2826.9875,3336.025
2020-03-29,2020-03-25,"New York",3764.5805,3393.975,4160.525
2020-03-29,2020-03-26,"New York",4519.573,3978.475,5100.55
2020-03-29,2020-03-27,"New York",5323.8585,4529.9625,6150.0375
2020-03-29,2020-03-28,"New York",6160.6865,5025.925,7293.075
2020-03-29,2020-03-29,"New York",6997.1605,5469.9625,8519.6625
2020-03-29,2020-03-30,"New York",7849.311,5850.875,9820.55
2020-03-29,2020-03-31,"New York",8689.344,6180.9375,11150.0625
2020-03-29,2020-04-01,"New York",9474.8845,6399.8625,12421.075
2020-03-29,2020-04-02,"New York",10177.9475,6544.35,13633.1875
2020-03-29,2020-04-03,"New York",10769.789,6549.175,14740.575
2020-03-29,2020-04-04,"New York",11229.8665,6414.4125,15705.725
2020-03-29,2020-04-05,"New York",11539.622,6236.35,16482.0875
2020-03-29,2020-04-06,"New York",11680.232,5920.225,16968.1625
2020-03-29,2020-04-07,"New York",11645.6545,5547.675,17189.575
2020-03-29,2020-04-08,"New York",11439.143,5088.425,17136.725
2020-03-29,2020-04-09,"New York",11070.135,4588.6375,16858.55
2020-03-29,2020-04-10,"New York",10553.618,4059.6125,16324.7125
2020-03-29,2020-04-11,"New York",9913.028,3527.7625,15537.125
2020-03-29,2020-04-12,"New York",9175.2235,3024.7125,14583.1
2020-03-29,2020-04-13,"New York",8364.276,2525.05,13456.325
2020-03-29,2020-04-14,"New York",7513.403,2090.475,12237.275
2020-03-29,2020-04-15,"New York",6648.5045,1674.15,10938.625
2020-03-29,2020-04-16,"New York",5795.372,1331.475,9620.6625
2020-03-29,2020-04-17,"New York",4977.3,1039.6,8328.1625
2020-03-29,2020-04-18,"New York",4211.7115,781.4375,7115.175
2020-03-29,2020-04-19,"New York",3510.1685,583.9125,5985.55
2020-03-29,2020-04-20,"New York",2879.8205,428.9125,4938.1125
2020-03-29,2020-04-21,"New York",2328.448,310.4625,4017.1125
2020-03-29,2020-04-22,"New York",1853.42,212.975,3226.5125
2020-03-29,2020-04-23,"New York",1453.1775,148.4375,2557.1125
2020-03-29,2020-04-24,"New York",1122.1225,103.975,1997
2020-03-29,2020-04-25,"New York",853.6015,71.975,1537.5
2020-03-29,2020-04-26,"New York",639.5745,47.4875,1167.5
2020-03-29,2020-04-27,"New York",471.519,29.9875,874.5125
2020-03-29,2020-04-28,"New York",342.2955,18.4875,644.5375
2020-03-29,2020-04-29,"New York",244.547,9.5,471.0125
2020-03-29,2020-04-30,"New York",172.356,5.5,340.0125
2020-03-29,2020-05-01,"New York",119.1685,2.5,242.5125
2020-03-29,2020-05-02,"New York",81.51,1,170.0125
2020-03-29,2020-05-03,"New York",54.6065,0,117.0125
2020-03-29,2020-05-04,"New York",36.141,0,81
2020-03-29,2020-05-05,"New York",23.272,0,55.0125
2020-03-29,2020-05-06,"New York",14.658,0,35.5125
2020-03-29,2020-05-07,"New York",9.074,0,24.0125
2020-03-29,2020-05-08,"New York",5.464,0,15.5125
2020-03-29,2020-05-09,"New York",3.114,0,9.51249999999999
2020-03-29,2020-05-10,"New York",1.474,0,5.5
2020-03-29,2020-05-11,"New York",0.7235,0,3
2020-03-29,2020-05-12,"New York",0.01,0,0
2020-03-29,2020-05-13,"New York",0,0,0
2020-03-29,2020-05-14,"New York",0,0,0
2020-03-29,2020-05-15,"New York",0,0,0
2020-03-29,2020-05-16,"New York",0,0,0
2020-03-29,2020-05-17,"New York",0,0,0
2020-03-29,2020-05-18,"New York",0,0,0
2020-03-29,2020-05-19,"New York",0,0,0
2020-03-29,2020-05-20,"New York",0,0,0
2020-03-29,2020-05-21,"New York",0,0,0
2020-03-29,2020-05-22,"New York",0,0,0
2020-03-29,2020-05-23,"New York",0,0,0
2020-03-29,2020-05-24,"New York",0,0,0
2020-03-29,2020-05-25,"New York",0,0,0
2020-03-29,2020-05-26,"New York",0,0,0
2020-03-29,2020-05-27,"New York",0,0,0
2020-03-29,2020-05-28,"New York",0,0,0
2020-03-29,2020-05-29,"New York",0,0,0
2020-03-29,2020-05-30,"New York",0,0,0
2020-03-29,2020-05-31,"New York",0,0,0
2020-03-29,2020-06-01,"New York",0,0,0
2020-03-29,2020-06-02,"New York",0,0,0
2020-03-29,2020-06-03,"New York",0,0,0
2020-03-29,2020-06-04,"New York",0,0,0
2020-03-29,2020-06-05,"New York",0,0,0
2020-03-29,2020-06-06,"New York",0,0,0
2020-03-29,2020-06-07,"New York",0,0,0
2020-03-29,2020-06-08,"New York",0,0,0
2020-03-29,2020-06-09,"New York",0,0,0
2020-03-29,2020-06-10,"New York",0,0,0
2020-03-29,2020-06-11,"New York",0,0,0
2020-03-29,2020-06-12,"New York",0,0,0
2020-03-29,2020-06-13,"New York",0,0,0
2020-03-29,2020-06-14,"New York",0,0,0
2020-03-29,2020-06-15,"New York",0,0,0
2020-03-29,2020-06-16,"New York",0,0,0
2020-03-29,2020-06-17,"New York",0,0,0
2020-03-29,2020-06-18,"New York",0,0,0
2020-03-29,2020-06-19,"New York",0,0,0
2020-03-29,2020-06-20,"New York",0,0,0
2020-03-29,2020-06-21,"New York",0,0,0
2020-03-29,2020-06-22,"New York",0,0,0
2020-03-29,2020-06-23,"New York",0,0,0
2020-03-29,2020-06-24,"New York",0,0,0
2020-03-29,2020-06-25,"New York",0,0,0
2020-03-29,2020-06-26,"New York",0,0,0
2020-03-29,2020-06-27,"New York",0,0,0
2020-03-29,2020-06-28,"New York",0,0,0
2020-03-29,2020-06-29,"New York",0,0,0
2020-03-29,2020-06-30,"New York",0,0,0
2020-03-29,2020-07-01,"New York",0,0,0
2020-03-29,2020-07-02,"New York",0,0,0
2020-03-29,2020-07-03,"New York",0,0,0
2020-03-29,2020-07-04,"New York",0,0,0
2020-03-29,2020-07-05,"New York",0,0,0
2020-03-29,2020-07-06,"New York",0,0,0
2020-03-29,2020-07-07,"New York",0,0,0
2020-03-29,2020-07-08,"New York",0,0,0
2020-03-29,2020-07-09,"New York",0,0,0
2020-03-29,2020-07-10,"New York",0,0,0
2020-03-29,2020-07-11,"New York",0,0,0
2020-03-29,2020-07-12,"New York",0,0,0
2020-03-29,2020-07-13,"New York",0,0,0
2020-03-29,2020-07-14,"New York",0,0,0
2020-03-29,2020-07-15,"New York",0,0,0
2020-03-29,2020-07-16,"New York",0,0,0
2020-03-29,2020-07-17,"New York",0,0,0
2020-03-29,2020-07-18,"New York",0,0,0
2020-03-29,2020-07-19,"New York",0,0,0
2020-03-29,2020-07-20,"New York",0,0,0
2020-03-29,2020-07-21,"New York",0,0,0
2020-03-29,2020-07-22,"New York",0,0,0
2020-03-29,2020-07-23,"New York",0,0,0
2020-03-29,2020-07-24,"New York",0,0,0
2020-03-29,2020-07-25,"New York",0,0,0
2020-03-29,2020-07-26,"New York",0,0,0
2020-03-29,2020-07-27,"New York",0,0,0
2020-03-29,2020-07-28,"New York",0,0,0
2020-03-29,2020-07-29,"New York",0,0,0
2020-03-29,2020-07-30,"New York",0,0,0
2020-03-29,2020-07-31,"New York",0,0,0
2020-03-29,2020-08-01,"New York",0,0,0
2020-03-29,2020-08-02,"New York",0,0,0
2020-03-29,2020-08-03,"New York",0,0,0
2020-03-29,2020-08-04,"New York",0,0,0
2020-03-30,2020-03-01,"New York",0,0,0
2020-03-30,2020-03-02,"New York",0,0,0
2020-03-30,2020-03-03,"New York",0,0,0
2020-03-30,2020-03-04,"New York",0,0,0
2020-03-30,2020-03-05,"New York",1.0265,0,7
2020-03-30,2020-03-06,"New York",1.5445,0,8
2020-03-30,2020-03-07,"New York",8.0735,2.4875,18.0125
2020-03-30,2020-03-08,"New York",10.984,4,22
2020-03-30,2020-03-09,"New York",22.376,13.4875,34.5
2020-03-30,2020-03-10,"New York",35.7505,22.5,51.5
2020-03-30,2020-03-11,"New York",43.8875,29.4875,63.0125
2020-03-30,2020-03-12,"New York",78.515,60,99.5
2020-03-30,2020-03-13,"New York",117.6235,93.5,146.5
2020-03-30,2020-03-14,"New York",163.6775,134.4875,196.5125
2020-03-30,2020-03-15,"New York",263.9905,230.9875,300.5125
2020-03-30,2020-03-16,"New York",356.293,317,397
2020-03-30,2020-03-17,"New York",468.4475,422.9875,515.0375
2020-03-30,2020-03-18,"New York",632.9785,579.5,686.0375
2020-03-30,2020-03-19,"New York",866.5745,799.975,934
2020-03-30,2020-03-20,"New York",1152.1055,1080.4875,1225.525
2020-03-30,2020-03-21,"New York",1523.6815,1442.9875,1604.55
2020-03-30,2020-03-22,"New York",1981.8665,1890.4625,2073.5125
2020-03-30,2020-03-23,"New York",2433.5995,2330.9875,2543.525
2020-03-30,2020-03-24,"New York",3047.1875,2914.9375,3187.0125
2020-03-30,2020-03-25,"New York",3755.525,3568.475,3960.1125
2020-03-30,2020-03-26,"New York",4539.082,4246.475,4829.5125
2020-03-30,2020-03-27,"New York",5381.573,4939.9,5815.0125
2020-03-30,2020-03-28,"New York",6265.7115,5633.725,6890.5375
2020-03-30,2020-03-29,"New York",7170.179,6249,8045.5625
2020-03-30,2020-03-30,"New York",8077.3545,6823.7875,9247.55
2020-03-30,2020-03-31,"New York",9012.111,7339.8375,10519.4625
2020-03-30,2020-04-01,"New York",9847.6375,7694.775,11746.0625
2020-03-30,2020-04-02,"New York",10590.4995,7913.3375,12851.7
2020-03-30,2020-04-03,"New York",11203.446,8019.0875,13964.0875
2020-03-30,2020-04-04,"New York",11669.973,7943.5,14835.125
2020-03-30,2020-04-05,"New York",11968.274,7660.8625,15512.0625
2020-03-30,2020-04-06,"New York",12082.821,7293.125,16027.6375
2020-03-30,2020-04-07,"New York",12007.706,6792.7625,16218.35
2020-03-30,2020-04-08,"New York",11747.375,6234.2125,16204.3875
2020-03-30,2020-04-09,"New York",11319.657,5619.725,15946.825
2020-03-30,2020-04-10,"New York",10740.086,4966.2875,15409.125
2020-03-30,2020-04-11,"New York",10040.494,4260.8625,14691.55
2020-03-30,2020-04-12,"New York",9244.5365,3599.2875,13829.525
2020-03-30,2020-04-13,"New York",8384.9875,2980.475,12716
2020-03-30,2020-04-14,"New York",7490.5625,2430.9125,11577.625
2020-03-30,2020-04-15,"New York",6593.8675,1934.9875,10354.8
2020-03-30,2020-04-16,"New York",5718.595,1504.3375,9129.1625
2020-03-30,2020-04-17,"New York",4886.9085,1158.3125,7905.55
2020-03-30,2020-04-18,"New York",4114.664,857,6773.7125
2020-03-30,2020-04-19,"New York",3413.155,636.7125,5691.0375
2020-03-30,2020-04-20,"New York",2790.9315,459.875,4717.5625
2020-03-30,2020-04-21,"New York",2246.223,317.9,3844.0375
2020-03-30,2020-04-22,"New York",1782.53,215.9125,3087.05
2020-03-30,2020-04-23,"New York",1394.508,143.4625,2454.0125
2020-03-30,2020-04-24,"New York",1074.2775,94.9625,1922.5125
2020-03-30,2020-04-25,"New York",816.212,60.4875,1484.5125
2020-03-30,2020-04-26,"New York",610.996,38.95,1133.5125
2020-03-30,2020-04-27,"New York",450.6645,21.4875,851.5125
2020-03-30,2020-04-28,"New York",327.2775,12.4875,632
2020-03-30,2020-04-29,"New York",234.3235,6.9875,469.025
2020-03-30,2020-04-30,"New York",165.0655,3,336.5
2020-03-30,2020-05-01,"New York",114.46,1.4875,241.5
2020-03-30,2020-05-02,"New York",78.529,0,173
2020-03-30,2020-05-03,"New York",52.674,0,119
2020-03-30,2020-05-04,"New York",35.0395,0,82
2020-03-30,2020-05-05,"New York",22.4845,0,54
2020-03-30,2020-05-06,"New York",14.0385,0,36.025
2020-03-30,2020-05-07,"New York",8.7105,0,24
2020-03-30,2020-05-08,"New York",5.2855,0,15.5125
2020-03-30,2020-05-09,"New York",3.058,0,10
2020-03-30,2020-05-10,"New York",1.4915,0,5.01249999999999
2020-03-30,2020-05-11,"New York",0.759,0,3.5
2020-03-30,2020-05-12,"New York",0.0175,0,0
2020-03-30,2020-05-13,"New York",0,0,0
2020-03-30,2020-05-14,"New York",0,0,0
2020-03-30,2020-05-15,"New York",0,0,0
2020-03-30,2020-05-16,"New York",0,0,0
2020-03-30,2020-05-17,"New York",0,0,0
2020-03-30,2020-05-18,"New York",0,0,0
2020-03-30,2020-05-19,"New York",0,0,0
2020-03-30,2020-05-20,"New York",0,0,0
2020-03-30,2020-05-21,"New York",0,0,0
2020-03-30,2020-05-22,"New York",0,0,0
2020-03-30,2020-05-23,"New York",0,0,0
2020-03-30,2020-05-24,"New York",0,0,0
2020-03-30,2020-05-25,"New York",0,0,0
2020-03-30,2020-05-26,"New York",0,0,0
2020-03-30,2020-05-27,"New York",0,0,0
2020-03-30,2020-05-28,"New York",0,0,0
2020-03-30,2020-05-29,"New York",0,0,0
2020-03-30,2020-05-30,"New York",0,0,0
2020-03-30,2020-05-31,"New York",0,0,0
2020-03-30,2020-06-01,"New York",0,0,0
2020-03-30,2020-06-02,"New York",0,0,0
2020-03-30,2020-06-03,"New York",0,0,0
2020-03-30,2020-06-04,"New York",0,0,0
2020-03-30,2020-06-05,"New York",0,0,0
2020-03-30,2020-06-06,"New York",0,0,0
2020-03-30,2020-06-07,"New York",0,0,0
2020-03-30,2020-06-08,"New York",0,0,0
2020-03-30,2020-06-09,"New York",0,0,0
2020-03-30,2020-06-10,"New York",0,0,0
2020-03-30,2020-06-11,"New York",0,0,0
2020-03-30,2020-06-12,"New York",0,0,0
2020-03-30,2020-06-13,"New York",0,0,0
2020-03-30,2020-06-14,"New York",0,0,0
2020-03-30,2020-06-15,"New York",0,0,0
2020-03-30,2020-06-16,"New York",0,0,0
2020-03-30,2020-06-17,"New York",0,0,0
2020-03-30,2020-06-18,"New York",0,0,0
2020-03-30,2020-06-19,"New York",0,0,0
2020-03-30,2020-06-20,"New York",0,0,0
2020-03-30,2020-06-21,"New York",0,0,0
2020-03-30,2020-06-22,"New York",0,0,0
2020-03-30,2020-06-23,"New York",0,0,0
2020-03-30,2020-06-24,"New York",0,0,0
2020-03-30,2020-06-25,"New York",0,0,0
2020-03-30,2020-06-26,"New York",0,0,0
2020-03-30,2020-06-27,"New York",0,0,0
2020-03-30,2020-06-28,"New York",0,0,0
2020-03-30,2020-06-29,"New York",0,0,0
2020-03-30,2020-06-30,"New York",0,0,0
2020-03-30,2020-07-01,"New York",0,0,0
2020-03-30,2020-07-02,"New York",0,0,0
2020-03-30,2020-07-03,"New York",0,0,0
2020-03-30,2020-07-04,"New York",0,0,0
2020-03-30,2020-07-05,"New York",0,0,0
2020-03-30,2020-07-06,"New York",0,0,0
2020-03-30,2020-07-07,"New York",0,0,0
2020-03-30,2020-07-08,"New York",0,0,0
2020-03-30,2020-07-09,"New York",0,0,0
2020-03-30,2020-07-10,"New York",0,0,0
2020-03-30,2020-07-11,"New York",0,0,0
2020-03-30,2020-07-12,"New York",0,0,0
2020-03-30,2020-07-13,"New York",0,0,0
2020-03-30,2020-07-14,"New York",0,0,0
2020-03-30,2020-07-15,"New York",0,0,0
2020-03-30,2020-07-16,"New York",0,0,0
2020-03-30,2020-07-17,"New York",0,0,0
2020-03-30,2020-07-18,"New York",0,0,0
2020-03-30,2020-07-19,"New York",0,0,0
2020-03-30,2020-07-20,"New York",0,0,0
2020-03-30,2020-07-21,"New York",0,0,0
2020-03-30,2020-07-22,"New York",0,0,0
2020-03-30,2020-07-23,"New York",0,0,0
2020-03-30,2020-07-24,"New York",0,0,0
2020-03-30,2020-07-25,"New York",0,0,0
2020-03-30,2020-07-26,"New York",0,0,0
2020-03-30,2020-07-27,"New York",0,0,0
2020-03-30,2020-07-28,"New York",0,0,0
2020-03-30,2020-07-29,"New York",0,0,0
2020-03-30,2020-07-30,"New York",0,0,0
2020-03-30,2020-07-31,"New York",0,0,0
2020-03-30,2020-08-01,"New York",0,0,0
2020-03-30,2020-08-02,"New York",0,0,0
2020-03-30,2020-08-03,"New York",0,0,0
2020-03-30,2020-08-04,"New York",0,0,0
2020-03-31,2020-03-01,"New York",0,0,0
2020-03-31,2020-03-02,"New York",0,0,0
2020-03-31,2020-03-03,"New York",0,0,0
2020-03-31,2020-03-04,"New York",0,0,0
2020-03-31,2020-03-05,"New York",0.9715,0,6
2020-03-31,2020-03-06,"New York",1.4245,0,7.5
2020-03-31,2020-03-07,"New York",7.8665,2,18.5
2020-03-31,2020-03-08,"New York",10.8325,4,22.5
2020-03-31,2020-03-09,"New York",22.126,13.5,34.5
2020-03-31,2020-03-10,"New York",35.4295,22.5,52
2020-03-31,2020-03-11,"New York",43.6435,29.4875,63
2020-03-31,2020-03-12,"New York",78.2695,59.4875,99
2020-03-31,2020-03-13,"New York",117.684,92,149
2020-03-31,2020-03-14,"New York",163.0515,135,196
2020-03-31,2020-03-15,"New York",263.126,228.5,301.5
2020-03-31,2020-03-16,"New York",355.6385,318,403.5
2020-03-31,2020-03-17,"New York",468.059,423.975,521.5125
2020-03-31,2020-03-18,"New York",631.606,577.9875,692.0125
2020-03-31,2020-03-19,"New York",865.43,797.9875,933.025
2020-03-31,2020-03-20,"New York",1151.6305,1074.975,1230.5
2020-03-31,2020-03-21,"New York",1524.484,1441.4875,1617.05
2020-03-31,2020-03-22,"New York",1980.0975,1878.5,2077.5125
2020-03-31,2020-03-23,"New York",2432.331,2322,2553.0375
2020-03-31,2020-03-24,"New York",3043.3015,2919.9125,3171
2020-03-31,2020-03-25,"New York",3755.852,3579.9,3921.575
2020-03-31,2020-03-26,"New York",4542.571,4311.4625,4776.525
2020-03-31,2020-03-27,"New York",5394.6,5048.95,5759.05
